business_name,owner_name,niche,website,email,contact_form_url,source,messaged,date_messaged,response
Actioncoach,,business coaching,https://www.actioncoach.us/coaches/actioncoachnw,info@actioncoachnw.com,,google,yes,2026-06-09,pending
Businesscoachchicago,,business coaching,https://www.businesscoachchicago.com/,tomkelly@potentialinmotion.com,,google,yes,2026-06-02,pending
Distinctivecoaching,,business coaching,https://distinctivecoaching.com/,jason@distinctivecoaching.com,,google,yes,2026-06-02,pending
Downtownspokane,,business coaching,https://downtownspokane.org/places/action-coach/,info@downtownspokane.org,,google,yes,,pending
Leadershipcoachgroup,,business coaching,https://www.leadershipcoachgroup.com/top-5-executive-coaching-companies-in-spokane-wa,contact@leadershipcoachgroup.com,,google,yes,2026-06-09,pending
Miick,,business coaching,https://miick.com/small-business-coaching/chicago/,info@miick.com,,google,yes,2026-06-02,pending
Mtnorthcc,,business coaching,https://mtnorthcc.com/,tyler@mtnorthcc.com,,google,yes,2026-06-09,pending
Nwcfo,,business coaching,https://nwcfo.com/executive-coaching/,,https://nwcfo.com/contact-us%20,google,yes,2026-06-12,pending
Orkplaceculturesolutions,,business coaching,https://workplaceculturesolutions.com/manchester-nh-leadership-business-coaching-consultant,1visionary@gmail.com,,google,yes,2026-06-04,pending
Orkwithlitsa,,business coaching,https://workwithlitsa.co.uk/,,https://workwithlitsa.co.uk/contact,google,yes,2026-06-11,pending
Pbsolutions,,business coaching,https://www.wpbsolutions.com/business-coach-spokane/,info@wpbsolutions.com,,google,yes,2026-06-09,pending
Petracoach,,business coaching,https://petracoach.com/,,https://petracoach.com/contact-us-footer/,google,yes,2026-06-13,pending
Spokanevalleychamber,,business coaching,http://spokanevalleychamber.chambermaster.com/list/category/business-coach-63?o=alpha&dm=True,info@spokanevalleychamber.org,,google,yes,,pending
Stephanieweichert,,business coaching,https://stephanieweichert.com/,,https://stephanieweichert.com/contact/,google,yes,2026-06-13,pending
Ukbusinessmentoring,,business coaching,https://www.ukbusinessmentoring.co.uk/business-mentors/paul-clarke,paul@ukbusinessmentoring.co.uk,,google,yes,2026-06-04,pending
AndreaHillPottery,,ceramic pottery,https://andreahillpottery.wixsite.com/andrea-hill-pottery/contact,andreahillpottery@gmail.com,,etsy,yes,2026-06-01,pending
CoastalClayCo,,ceramic pottery,https://coastalclayco.com/,,https://coastalclayco.com/pages/contact,etsy,yes,2026-06-11,pending
Aestheticsbyeimear,,esthetics,https://aestheticsbyeimear.com/,aestheticsbyeimear@gmail.com,,google,yes,2026-06-08,pending
Artisanclinics,,esthetics,https://artisanclinics.com/,,https://artisanclinics.com/about-us,google,yes,2026-06-12,pending
Dermatologynm,,esthetics,https://dermatologynm.com/aesthetic-services/,contact@dermatologynm.com,,google,yes,2026-06-04,pending
Dermhaus,,esthetics,https://www.dermhaus.com.au/,hello@dermhaus.com.au,,google,yes,2026-06-09,pending
Freshskincanvas,,esthetics,https://freshskincanvas.com.au/areas-we-serve/fitzroy/,,https://freshskincanvas.com.au/contact-us/,google,yes,2026-06-12,pending
Gcappado,,esthetics,https://gcappado.wixsite.com/onyx-aesthetics,onyxaestheticsabq@gmail.com,,google,yes,2026-06-04,pending
Glowesthetics,,esthetics,https://www.glowesthetics.co/,mayra0518@gmail.com,,google,yes,2026-06-04,pending
Lesleyswor,,esthetics,https://www.lesleyswor.com/clementine-esthetics,,https://www.lesleyswor.com/contact,google,yes,2026-06-12,pending
Medspaalbuquerque,,esthetics,https://medspaalbuquerque.com/,info@abqmedicalspa.com,,google,yes,2026-06-04,pending
Oleanderaesthetics,,esthetics,https://oleanderaesthetics.com/,,https://oleanderaesthetics.com/contact/,google,yes,2026-06-14,pending
Sagebeauty,,esthetics,https://sagebeauty.com.au/,info@sagebeauty.com.au,,google,yes,2026-06-09,pending
Sinyderm,,esthetics,https://www.sinyderm.com/contents/offices/west-village-new-york/,,https://www.sinyderm.com/contact-us/,google,yes,2026-06-12,pending
