keyword,search_volume,competition_score,trend_direction,product_mapped,priority_score,pins_generated_this_batch,previous_batch_click_rate,status
coach websites,9900,0.95,rising,Premade Wix Website,261.1,5,0.55%,increase_volume
wix website for coaches,0,0.0,unknown,Premade Wix Website,261.1,5,0.55%,increase_volume
wix website for life coaches,0,0.0,unknown,Premade Wix Website,261.1,5,0.55%,increase_volume
wix website for health coaches,0,0.0,unknown,Premade Wix Website,261.1,5,0.55%,increase_volume
wix website for wellness coaches,0,0.0,unknown,Premade Wix Website,261.1,5,0.55%,increase_volume
wix website for therapists,0,0.0,unknown,Premade Wix Website,261.1,5,0.55%,increase_volume
wix website for consultants,0,0.0,unknown,Premade Wix Website,261.1,5,0.55%,increase_volume
coach wix website template,0,0.0,stable,Premade Wix Website,259.8,5,0.55%,increase_volume
wix website template,40500,0.2,stable,Premade Wix Website,255.8,5,0.55%,increase_volume
starting a business,27100,0.36,stable,Audience — all products,222.0,5,1.08%,increase_volume
small business marketing,2900,0.14,stable,Audience — all products,214.1,5,0.55%,increase_volume
instagram templates for coaches,0,0.0,unknown,Instagram Template Pack,210.6,5,0.55%,increase_volume
instagram templates for therapists,0,0.0,unknown,Instagram Template Pack,210.6,5,0.55%,increase_volume
instagram templates for consultants,0,0.0,unknown,Instagram Template Pack,210.6,5,0.55%,increase_volume
how to grow business,1300,0.43,stable,Audience — all products,169.6,5,1.12%,increase_volume
online store template,1300,0.25,stable,Premade Wix Website,164.6,5,0.55%,increase_volume
branding kit canva,1600,0.2,stable,Full Branding Kit,158.9,5,0.55%,increase_volume
Pinterest for business,18100,0.14,stable,Audience — all products,149.6,5,,new
small business templates,390,0.51,stable,All Products,142.8,5,0.55%,increase_volume
social media templates for coaches,0,0.0,unknown,Full Branding Kit,141.8,5,0.37%,maintain
social media templates for therapists,0,0.0,unknown,Full Branding Kit,141.8,5,0.37%,maintain
website for a coach,0,0.0,stable,Audience — all products,136.7,5,0.33%,maintain
brand identity for coaches,0,0.0,unknown,Full Branding Kit,135.5,5,0.34%,maintain
branding design,22200,0.21,stable,Full Branding Kit,134.9,5,0.34%,maintain
branding kit,3600,0.58,stable,Full Branding Kit,134.1,5,1.91%,increase_volume
business templates,4400,0.36,stable,All Products,130.2,5,0.55%,increase_volume
canva business templates,480,0.12,rising,All Products,112.3,5,,new
personal branding,49500,0.08,stable,Full Branding Kit,108.6,5,,new
