ID,Label,URL,"Search Volume",Followers,Taxonomy,"Related Interests"
916649282305,"personalized baby gifts",https://www.pinterest.com/ideas/personalized-baby-gifts/916649282305,6691,1,"parenting (https://app.pinclicks.com/keyword/parenting/920236059316)
baby announcement (https://app.pinclicks.com/keyword/baby-announcement/945545956534)","customized baby gifts (https://app.pinclicks.com/keyword/customized-baby-gifts/945010424728)
baby gift ideas unique (https://app.pinclicks.com/keyword/baby-gift-ideas-unique/910822565187)
cricut baby gifts (https://app.pinclicks.com/keyword/cricut-baby-gifts/912291730637)
personalised baby gifts (https://app.pinclicks.com/keyword/personalised-baby-gifts/916766961899)
new baby gift ideas (https://app.pinclicks.com/keyword/new-baby-gift-ideas/955658018967)
newborn gifts ideas (https://app.pinclicks.com/keyword/newborn-gifts-ideas/902353768428)
baby hamper (https://app.pinclicks.com/keyword/baby-hamper/931861136893)
unique baby shower gifts (https://app.pinclicks.com/keyword/unique-baby-shower-gifts/915365330385)
baby shower prizes (https://app.pinclicks.com/keyword/baby-shower-prizes/905805490547)
handmade baby gifts (https://app.pinclicks.com/keyword/handmade-baby-gifts/943974597003)"
897802018143,"personalized gifts for boyfriend",https://www.pinterest.com/ideas/personalized-gifts-for-boyfriend/897802018143,6556,0,"event planning (https://app.pinclicks.com/keyword/event-planning/941870572865)
gifts (https://app.pinclicks.com/keyword/gifts/915305016791)
gifts for adults (https://app.pinclicks.com/keyword/gifts-for-adults/898524447846)","unique gift ideas for boyfriend (https://app.pinclicks.com/keyword/unique-gift-ideas-for-boyfriend/914265440343)
personalized gifts for him (https://app.pinclicks.com/keyword/personalized-gifts-for-him/950058489142)
meaningful gifts for boyfriend (https://app.pinclicks.com/keyword/meaningful-gifts-for-boyfriend/902076212172)
thoughtful gifts for boyfriend (https://app.pinclicks.com/keyword/thoughtful-gifts-for-boyfriend/920540824906)
customised gifts for boyfriend (https://app.pinclicks.com/keyword/customised-gifts-for-boyfriend/952866836192)
personal gifts for boyfriend (https://app.pinclicks.com/keyword/personal-gifts-for-boyfriend/922622548945)
best gifts for him (https://app.pinclicks.com/keyword/best-gifts-for-him/909427280242)
gift items for boyfriend (https://app.pinclicks.com/keyword/gift-items-for-boyfriend/953519615362)
sentimental gifts for boyfriend (https://app.pinclicks.com/keyword/sentimental-gifts-for-boyfriend/938673325229)
handmade things for boyfriend (https://app.pinclicks.com/keyword/handmade-things-for-boyfriend/899487392325)"
947829240279,"personalized wedding gifts",https://www.pinterest.com/ideas/personalized-wedding-gifts/947829240279,6514,2,"weddings (https://app.pinclicks.com/keyword/weddings/903260720461)
wedding gifts (https://app.pinclicks.com/keyword/wedding-gifts/958770377703)
wedding gifts ideas (https://app.pinclicks.com/keyword/wedding-gifts-ideas/905587266163)","personalized wedding ideas (https://app.pinclicks.com/keyword/personalized-wedding-ideas/895827473844)
wedding present ideas (https://app.pinclicks.com/keyword/wedding-present-ideas/905205858338)
personalised wedding gifts (https://app.pinclicks.com/keyword/personalised-wedding-gifts/909816869396)
wedding day gifts (https://app.pinclicks.com/keyword/wedding-day-gifts/914052630600)
homemade wedding gifts (https://app.pinclicks.com/keyword/homemade-wedding-gifts/941074928228)
cute wedding gifts (https://app.pinclicks.com/keyword/cute-wedding-gifts/918356645113)
custom wedding gifts (https://app.pinclicks.com/keyword/custom-wedding-gifts/913289912696)
handmade wedding gifts (https://app.pinclicks.com/keyword/handmade-wedding-gifts/941519004577)
wedding favours (https://app.pinclicks.com/keyword/wedding-favours/946258653125)
small wedding gifts (https://app.pinclicks.com/keyword/small-wedding-gifts/903170534411)"
900290459328,"Personalized christmas gifts",https://www.pinterest.com/ideas/personalized-christmas-gifts/900290459328,5745,25481477,,
913660134929,"personalized teacher gifts",https://www.pinterest.com/ideas/personalized-teacher-gifts/913660134929,4017,1,"event planning (https://app.pinclicks.com/keyword/event-planning/941870572865)
gifts (https://app.pinclicks.com/keyword/gifts/915305016791)
gifts for adults (https://app.pinclicks.com/keyword/gifts-for-adults/898524447846)","useful teacher gifts (https://app.pinclicks.com/keyword/useful-teacher-gifts/940420999408)
creative teachers gifts (https://app.pinclicks.com/keyword/creative-teachers-gifts/944492744417)
custom teacher gifts (https://app.pinclicks.com/keyword/custom-teacher-gifts/937201669155)
cricut teacher gifts (https://app.pinclicks.com/keyword/cricut-teacher-gifts/906432403711)
new teacher gifts (https://app.pinclicks.com/keyword/new-teacher-gifts/907196120016)
teacher present ideas (https://app.pinclicks.com/keyword/teacher-present-ideas/895742916802)
unique teachers gift (https://app.pinclicks.com/keyword/unique-teachers-gift/923039851207)
handmade gift ideas for best friend (https://app.pinclicks.com/keyword/handmade-gift-ideas-for-best-friend/950167638192)
homemade teacher gifts (https://app.pinclicks.com/keyword/homemade-teacher-gifts/901374530953)
gift box ideas (https://app.pinclicks.com/keyword/gift-box-ideas/927509387526)"
957067410601,"diy personalized gifts",https://www.pinterest.com/ideas/diy-personalized-gifts/957067410601,2829,0,,
913390017428,"personalized gifts for friends",https://www.pinterest.com/ideas/personalized-gifts-for-friends/913390017428,2392,0,"event planning (https://app.pinclicks.com/keyword/event-planning/941870572865)
gifts (https://app.pinclicks.com/keyword/gifts/915305016791)
gifts for friends (https://app.pinclicks.com/keyword/gifts-for-friends/919232753936)","personal gifts for best friend (https://app.pinclicks.com/keyword/personal-gifts-for-best-friend/946224418230)
gifts for your friends (https://app.pinclicks.com/keyword/gifts-for-your-friends/947569520511)
creative gifts for friends (https://app.pinclicks.com/keyword/creative-gifts-for-friends/949083819101)
thoughtful gifts for friends (https://app.pinclicks.com/keyword/thoughtful-gifts-for-friends/933304368885)
gifts to give friends (https://app.pinclicks.com/keyword/gifts-to-give-friends/908187433745)
meaningful gifts for friends (https://app.pinclicks.com/keyword/meaningful-gifts-for-friends/908771264693)
personalized gift ideas (https://app.pinclicks.com/keyword/personalized-gift-ideas/954461280635)
personalized birthday gifts (https://app.pinclicks.com/keyword/personalized-birthday-gifts/921799133361)
unique gifts for friends (https://app.pinclicks.com/keyword/unique-gifts-for-friends/927344843897)
fun gifts for friends (https://app.pinclicks.com/keyword/fun-gifts-for-friends/960394549607)"
926832805196,"personalized gifts for kids",https://www.pinterest.com/ideas/personalized-gifts-for-kids/926832805196,2086,0,"event planning (https://app.pinclicks.com/keyword/event-planning/941870572865)
gifts (https://app.pinclicks.com/keyword/gifts/915305016791)
gifts for kids (https://app.pinclicks.com/keyword/gifts-for-kids/935435858853)","kids present ideas (https://app.pinclicks.com/keyword/kids-present-ideas/927447014550)
gift ideas for children (https://app.pinclicks.com/keyword/gift-ideas-for-children/913641474755)
cricut gifts for kids (https://app.pinclicks.com/keyword/cricut-gifts-for-kids/916506902993)
diy gifts for children (https://app.pinclicks.com/keyword/diy-gifts-for-children/925099426743)
baby personalized gift ideas (https://app.pinclicks.com/keyword/baby-personalized-gift-ideas/928834452175)
christmas gifts for children (https://app.pinclicks.com/keyword/christmas-gifts-for-children/895914103757)
cool gifts for kids (https://app.pinclicks.com/keyword/cool-gifts-for-kids/936527359747)
gift baskets for kids (https://app.pinclicks.com/keyword/gift-baskets-for-kids/928538289267)
homemade kids gifts (https://app.pinclicks.com/keyword/homemade-kids-gifts/896889865607)
customized baby gifts (https://app.pinclicks.com/keyword/customized-baby-gifts/945010424728)"
924814304181,"personalized gifts for men",https://www.pinterest.com/ideas/personalized-gifts-for-men/924814304181,2366,0,"event planning (https://app.pinclicks.com/keyword/event-planning/941870572865)
gifts (https://app.pinclicks.com/keyword/gifts/915305016791)
gifts for adults (https://app.pinclicks.com/keyword/gifts-for-adults/898524447846)","personalized gifts for boyfriend (https://app.pinclicks.com/keyword/personalized-gifts-for-boyfriend/897802018143)
unique gifts for men (https://app.pinclicks.com/keyword/unique-gifts-for-men/908027981916)
wedding gifts for men (https://app.pinclicks.com/keyword/wedding-gifts-for-men/944757907577)
diy gift set (https://app.pinclicks.com/keyword/diy-gift-set/950815714582)
gift basket ideas (https://app.pinclicks.com/keyword/gift-basket-ideas/917487513230)
birthday gift ideas (https://app.pinclicks.com/keyword/birthday-gift-ideas/909380455025)
birthday wishlist (https://app.pinclicks.com/keyword/birthday-wishlist/949908782912)
gift ideas for boyfriend (https://app.pinclicks.com/keyword/gift-ideas-for-boyfriend/909856300440)
anniversary gift ideas for him (https://app.pinclicks.com/keyword/anniversary-gift-ideas-for-him/916689602660)
graduation gift ideas (https://app.pinclicks.com/keyword/graduation-gift-ideas/954945075954)"
921799133361,"personalized birthday gifts",https://www.pinterest.com/ideas/personalized-birthday-gifts/921799133361,1743,0,"event planning (https://app.pinclicks.com/keyword/event-planning/941870572865)
gifts (https://app.pinclicks.com/keyword/gifts/915305016791)
gifts for adults (https://app.pinclicks.com/keyword/gifts-for-adults/898524447846)","customised gift ideas (https://app.pinclicks.com/keyword/customised-gift-ideas/955467821877)
personal birthday gifts (https://app.pinclicks.com/keyword/personal-birthday-gifts/950279532741)
special birthday gifts (https://app.pinclicks.com/keyword/special-birthday-gifts/932154726605)
personalized gifts for friends (https://app.pinclicks.com/keyword/personalized-gifts-for-friends/913390017428)
creative birthday gifts (https://app.pinclicks.com/keyword/creative-birthday-gifts/957063257296)
customized gift ideas (https://app.pinclicks.com/keyword/customized-gift-ideas/957141406249)
personalised gift ideas (https://app.pinclicks.com/keyword/personalised-gift-ideas/941301036581)
thoughtful birthday gifts (https://app.pinclicks.com/keyword/thoughtful-birthday-gifts/934433807910)
cricut birthday gifts (https://app.pinclicks.com/keyword/cricut-birthday-gifts/933516531447)
unique birthday gift ideas (https://app.pinclicks.com/keyword/unique-birthday-gift-ideas/904431569019)"
